Date,Time,Lat,Lon,Depth,Mag,Mt,Nst,Gap,Clo,RMS,Auth,Subsrc,DbId,JtId,Typ,Time UTC,Cluster,dt,Amplitude,FI
2009/01/26,19:17:11.9800,60.4765,-152.7622,-0.73,0.6,l,0,117.0,2.0,0.26,AV,hypomag,60323363,,lp,2009/01/26 19:17:11.9800,184,1.75000056624,10537.8474354,-0.737079888582
2009/01/26,23:29:27.3600,60.493,-152.718,1.36,0.0,l,0,103.0,1.0,0.19,AV,hypomag,60323418,,lp,2009/01/26 23:29:27.3600,,,,
2009/01/26,23:53:52.5600,60.4773,-152.7565,2.82,0.2,l,0,136.0,2.0,0.11,AV,hypomag,60323433,,lp,2009/01/26 23:53:52.5600,181,1.16000175476,3395.33753807,-0.575269907713
2009/01/27,00:33:52.9200,60.488,-152.7785,0.12,0.8,l,0,158.0,3.0,0.11,AV,hypomag,60323438,,lp,2009/01/27 00:33:52.9200,181,0.929998978972,8533.56097869,-0.302720089753
2009/01/27,01:25:07.2000,60.4852,-152.7392,-2.97,2.2,l,0,120.0,3.0,0.53,AV,hypomag,60323448,,lp,2009/01/27 01:25:07.2000,,,,
2009/01/27,01:26:52.5700,60.475,-152.7378,3.1,0.7,l,0,157.0,2.0,0.08,AV,hypomag,60323458,,lp,2009/01/27 01:26:52.5700,expired,5.58000393212,NaN,NaN
2009/01/27,01:26:52.7400,60.4875,-152.7637,1.93,0.8,l,0,142.0,3.0,0.15,AV,hypomag,60323453,,lp,2009/01/27 01:26:52.7400,expired,5.40999881923,NaN,NaN
2009/01/27,02:41:13.8400,60.483,-152.6462,2.43,-0.3,l,0,298.0,3.0,0.06,AV,hypomag,60323468,,lp,2009/01/27 02:41:13.8400,,,,
2009/01/27,03:11:52.5200,60.5032,-152.7663,2.37,0.1,l,0,135.0,3.0,0.03,AV,hypomag,60323483,,le,2009/01/27 03:11:52.5200,185,0.859993323684,1367.0053718,0.257501711188
2009/01/27,04:00:04.8500,60.4755,-152.7718,2.4,0.9,l,0,169.0,2.0,0.17,AV,hypomag,60323488,,lp,2009/01/27 04:00:04.8500,,,,
2009/01/27,04:57:02.8800,60.488,-152.7755,5.09,0.4,l,0,226.0,3.0,0.01,AV,hypomag,60323518,,lp,2009/01/27 04:57:02.8800,,,,
2009/01/27,05:08:25.2000,60.4877,-152.7743,1.19,0.0,l,0,155.0,3.0,0.08,AV,hypomag,60323523,,lp,2009/01/27 05:08:25.2000,,,,
2009/01/27,05:11:47.1800,60.4957,-152.7632,2.35,0.7,l,0,136.0,3.0,0.11,AV,hypomag,60323528,,lp,2009/01/27 05:11:47.1800,,,,
2009/01/27,06:18:06.1000,60.503,-152.7525,2.97,0.5,l,0,122.0,2.0,0.08,AV,hypomag,60323553,,le,2009/01/27 06:18:06.1000,185,0.889997184277,5089.97617522,0.38985784291
2009/01/27,09:53:46.7000,60.5323,-152.8303,4.42,0.3,l,0,150.0,5.0,0.08,AV,hypomag,60323613,,le,2009/01/27 09:53:46.7000,,,,
2009/01/27,09:59:17.8800,60.503,-152.7663,2.31,0.2,l,0,135.0,3.0,0.02,AV,hypomag,60323618,,le,2009/01/27 09:59:17.8800,185,0.850005447865,1970.86353231,0.203541452659
2009/01/27,10:47:16.9700,60.5088,-152.7258,0.22,0.0,l,0,129.0,2.0,0.36,AV,hypomag,60323638,,lp,2009/01/27 10:47:16.9700,,,,
2009/01/27,12:23:12.0400,60.5085,-152.7583,-1.88,-0.4,l,0,125.0,2.0,0.22,AV,hypomag,60323663,,lp,2009/01/27 12:23:12.0400,expired,1.57000757754,NaN,NaN
2009/01/27,13:52:28.5900,60.491,-152.7657,0.7,0.3,l,0,142.0,3.0,0.05,AV,hypomag,60323743,,lp,2009/01/27 13:52:28.5900,154,1.20000354946,3105.40151209,-0.732040425142
2009/01/27,14:11:50.4200,60.5047,-152.7818,0.58,0.2,l,0,146.0,3.0,0.14,AV,hypomag,60323773,,lp,2009/01/27 14:11:50.4200,154,1.31999887526,3011.79670258,-0.482368022203
2009/01/27,15:03:24.5300,60.4993,-152.7562,-2.98,-0.6,l,0,128.0,3.0,0.23,AV,hypomag,60323813,,lp,2009/01/27 15:03:24.5300,197,0.759993866086,1141.64238725,-0.691456996845
2009/01/27,16:20:17.1500,60.5017,-152.7488,0.76,0.3,l,0,119.0,2.0,0.12,AV,hypomag,60323868,,le,2009/01/27 16:20:17.1500,,,,
2009/01/27,16:32:39.1300,60.4932,-152.7818,-2.99,0.2,l,0,157.0,4.0,0.15,AV,hypomag,60323878,,lp,2009/01/27 16:32:39.1300,154,1.27000920475,1754.24841675,-0.562368209163
2009/01/27,16:57:01.3800,60.5017,-152.7467,0.92,0.1,l,0,117.0,2.0,0.08,AV,hypomag,60323893,,lp,2009/01/27 16:57:01.3800,154,1.31000094116,2912.5747259,-0.54717716823
2009/01/27,21:02:48.5800,60.5137,-152.7723,3.97,0.9,l,0,132.0,2.0,0.16,AV,hypomag,60324043,,lp,2009/01/27 21:02:48.5800,junk,1.31999887526,NaN,NaN
2009/01/27,21:55:04.1900,60.5302,-152.702,0.62,-0.1,l,0,247.0,2.0,0.07,AV,hypomag,60324118,,lp,2009/01/27 21:55:04.1900,199,1.01999044418,1129.54355359,-0.685558296035
2009/01/28,00:31:11.1700,60.4853,-152.7508,1.13,0.7,l,0,125.0,3.0,0.16,AV,hypomag,60324253,,lp,2009/01/28 00:31:11.1700,181,0.940006971359,10448.3168521,-0.210769330462
