"ID","Lon","Lat","Elev(ft)","Elev(m)"
270,-119.0354,37.6292,10664.46,3250.53
271,-119.0350,37.6295,10737.31,3272.73
272,-119.0345,37.6298,10805.12,3293.40
273,-119.0341,37.6301,10882.46,3316.97
274,-119.0337,37.6304,10948.68,3337.16
275,-119.0333,37.6307,10982.77,3347.55
276,-119.0328,37.6310,10986.40,3348.65
277,-119.0324,37.6313,10802.98,3292.75
278,-119.0320,37.6316,10702.45,3262.11
279,-119.0316,37.6319,10552.23,3216.32
280,-119.0311,37.6322,10467.52,3190.50
281,-119.0307,37.6325,10373.36,3161.80
282,-119.0303,37.6328,10303.12,3140.39
283,-119.0298,37.6330,10261.64,3127.75
284,-119.0294,37.6333,10225.81,3116.83
285,-119.0290,37.6336,10229.42,3117.93
286,-119.0286,37.6339,10224.23,3116.35
287,-119.0281,37.6342,10186.91,3104.97
288,-119.0277,37.6345,10137.37,3089.87
289,-119.0273,37.6348,10081.59,3072.87
290,-119.0269,37.6351,10012.07,3051.68
291,-119.0264,37.6354,9965.42,3037.46
292,-119.0260,37.6357,9898.23,3016.98
293,-119.0256,37.6360,9839.72,2999.15
294,-119.0252,37.6363,9807.36,2989.28
295,-119.0247,37.6366,9728.05,2965.11
296,-119.0243,37.6369,9682.32,2951.17
297,-119.0239,37.6372,9640.12,2938.31
298,-119.0235,37.6375,9597.33,2925.27
299,-119.0230,37.6378,9568.02,2916.33
300,-119.0226,37.6381,9547.16,2909.97
301,-119.0222,37.6383,9531.64,2905.24
302,-119.0218,37.6386,9521.91,2902.28
303,-119.0213,37.6389,9515.51,2900.33
304,-119.0209,37.6392,9510.97,2898.94
305,-119.0205,37.6395,9497.66,2894.89
306,-119.0201,37.6398,9472.85,2887.32
307,-119.0196,37.6401,9455.64,2882.08
308,-119.0192,37.6404,9414.65,2869.59
309,-119.0188,37.6407,9365.88,2854.72
310,-119.0183,37.6410,9310.20,2837.75
311,-119.0179,37.6413,9263.60,2823.55
312,-119.0175,37.6416,9205.39,2805.80
313,-119.0171,37.6419,9179.36,2797.87
314,-119.0166,37.6422,9146.93,2787.98
315,-119.0162,37.6425,9107.25,2775.89
316,-119.0158,37.6428,9071.68,2765.05
317,-119.0154,37.6431,9039.04,2755.10
318,-119.0149,37.6434,9016.46,2748.22
319,-119.0145,37.6436,8993.29,2741.15
320,-119.0141,37.6439,8957.04,2730.11
321,-119.0137,37.6442,8918.12,2718.24
322,-119.0132,37.6445,8867.12,2702.70
323,-119.0128,37.6448,8843.49,2695.50
324,-119.0124,37.6451,8811.80,2685.84
325,-119.0120,37.6454,8791.19,2679.55
326,-119.0115,37.6457,8778.13,2675.57
327,-119.0111,37.6460,8756.79,2669.07
328,-119.0107,37.6463,8752.15,2667.66
329,-119.0103,37.6466,8745.51,2665.63
330,-119.0098,37.6469,8736.90,2663.01
331,-119.0094,37.6472,8715.20,2656.39
332,-119.0090,37.6475,8680.69,2645.87
333,-119.0085,37.6478,8663.75,2640.71
334,-119.0081,37.6481,8644.77,2634.93
335,-119.0077,37.6484,8629.21,2630.18
336,-119.0073,37.6487,8619.23,2627.14
337,-119.0068,37.6489,8612.55,2625.11
338,-119.0064,37.6492,8606.54,2623.27
339,-119.0060,37.6495,8586.74,2617.24
340,-119.0056,37.6498,8578.69,2614.78
341,-119.0051,37.6501,8573.32,2613.15
342,-119.0047,37.6504,8569.59,2612.01
343,-119.0043,37.6507,8570.07,2612.16
344,-119.0039,37.6510,8565.81,2610.86
345,-119.0034,37.6513,8567.48,2611.37
346,-119.0030,37.6516,8565.01,2610.62
347,-119.0026,37.6519,8563.52,2610.16
348,-119.0022,37.6522,8563.85,2610.26
349,-119.0017,37.6525,8567.95,2611.51
350,-119.0013,37.6528,8573.28,2613.14
351,-119.0009,37.6531,8564.01,2610.31
352,-119.0005,37.6534,8542.55,2603.77
353,-119.0000,37.6537,8525.91,2598.70
354,-118.9996,37.6540,8502.56,2591.58
355,-118.9992,37.6542,8484.34,2586.03
356,-118.9987,37.6545,8475.63,2583.37
357,-118.9983,37.6548,8469.38,2581.47
358,-118.9979,37.6551,8450.00,2575.56
359,-118.9975,37.6554,8425.75,2568.17
360,-118.9970,37.6557,8397.26,2559.48
361,-118.9966,37.6560,8346.07,2543.88
362,-118.9962,37.6563,8303.34,2530.86
363,-118.9958,37.6566,8295.34,2528.42
364,-118.9953,37.6569,8296.36,2528.73
365,-118.9949,37.6572,8300.80,2530.08
366,-118.9945,37.6575,8312.56,2533.67
367,-118.9941,37.6578,8342.71,2542.86
368,-118.9936,37.6581,8369.84,2551.13
369,-118.9932,37.6584,8395.95,2559.09
370,-118.9928,37.6587,8411.46,2563.81
371,-118.9924,37.6590,8406.85,2562.41
372,-118.9919,37.6593,8414.17,2564.64
373,-118.9915,37.6595,8422.31,2567.12
374,-118.9911,37.6598,8413.56,2564.45
375,-118.9907,37.6601,8391.81,2557.82
376,-118.9902,37.6604,8380.97,2554.52
377,-118.9898,37.6607,8361.07,2548.45
378,-118.9894,37.6610,8335.72,2540.73
379,-118.9889,37.6613,8315.83,2534.66
380,-118.9885,37.6616,8305.65,2531.56
381,-118.9881,37.6619,8290.47,2526.94
382,-118.9877,37.6622,8272.72,2521.53
383,-118.9872,37.6625,8264.14,2518.91
384,-118.9868,37.6628,8257.20,2516.79
385,-118.9864,37.6631,8263.23,2518.63
386,-118.9860,37.6634,8270.41,2520.82
387,-118.9855,37.6637,8288.79,2526.42
388,-118.9851,37.6640,8309.49,2532.73
389,-118.9847,37.6643,8331.89,2539.56
390,-118.9843,37.6646,8358.38,2547.63
391,-118.9838,37.6648,8419.22,2566.18
392,-118.9834,37.6651,8481.00,2585.01
393,-118.9830,37.6654,8506.81,2592.88
394,-118.9826,37.6657,8514.08,2595.09
395,-118.9821,37.6660,8523.76,2598.04
396,-118.9817,37.6663,8521.19,2597.26
397,-118.9813,37.6666,8519.70,2596.80
398,-118.9809,37.6669,8520.01,2596.90
399,-118.9804,37.6672,8525.70,2598.63
400,-118.9800,37.6675,8532.38,2600.67
