"ID","Lon","Lat","Elev(ft)","Elev(m)"
385,-118.9864,37.5993,9915.46,3022.23
386,-118.9860,37.5990,9910.48,3020.71
387,-118.9855,37.5987,9895.84,3016.25
388,-118.9851,37.5985,9879.85,3011.38
389,-118.9847,37.5982,9872.31,3009.08
390,-118.9843,37.5979,9870.33,3008.48
391,-118.9838,37.5976,9873.07,3009.31
392,-118.9834,37.5973,9874.06,3009.61
393,-118.9830,37.5970,9881.80,3011.97
394,-118.9826,37.5967,9897.31,3016.70
395,-118.9821,37.5964,9908.30,3020.05
396,-118.9817,37.5962,9930.56,3026.83
397,-118.9813,37.5959,9961.04,3036.12
398,-118.9809,37.5956,9985.14,3043.47
399,-118.9804,37.5953,10012.57,3051.83
400,-118.9800,37.5950,10035.07,3058.69
